idinspection,inspector_name,fruit,inspection_date,container,exporter,importer,vessel,arrival_date,o2_level_percent,co2_level_percent,pulp_temp_c,atmosphere,etd,int_pallet_nr,pallet_number,caliber,box_net_weight_g,grower,grw_boxes_per_pallet,total_boxes_per_pallet,packing_date,peduncular_mold,decay,soft,dehydrated,cold_damage,bruises,open_injury,scissor_damage,russet_greater_than_4_cm,insect_damage,sunburn,deformed,inspected_boxes
1903,Lucas,AVOCADOS,2017-01-10,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,8.6,8.1,,STARCOOL,2017-12-23,1903,27452,7,9951,SAN CARLOS,120,120,2016-11-24,0,0,1,2,3,0,1,0,2,0,0,2,2
1904,Raul,AVOCADOS,2017-01-10,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-12-29,4.4,7.2,5.4,STARCOOL,2016-12-16,1904,5480489019,20,10132,LAS ROSAS,120,120,2016-12-12,0,0,1,0,0,0,0,0,6,0,0,0,4
1905,Killian,MANDARINS,2017-01-10,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC CARIBEAN,2017-01-09,3.8,8.0,5.0,XTENDFRESH,2016-12-01,1905,F543123,16,9951,SAN CARLOS,120,120,2017-12-13,0,0,0,1,0,0,0,0,3,0,0,0,2
1906,Muayad,AVO 4K,2017-01-10,SUDU931477-9,BIO CITRICS,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,4.1,7.5,5.1,STARCOOL,2016-12-16,1906,5480475300,18,10377,SAN CARLOS,300,300,2017-12-15,0,0,0,0,1,0,1,0,3,0,0,1,2
1907,Emily,MANDARINS,2017-01-10,BMOU963885-2,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-09,3.9,8.9,5.5,STARCOOL,2016-12-16,1907,5480489019,1-xx,10509,SAN CARLOS,120,120,2016-12-13,0,0,0,0,0,0,0,0,2,0,0,3,1
1908,Sarah,MANDARINS,2017-01-10,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-16,3.8,7.1,,STARCOOL,2016-12-09,1908,F542697,26,9951,TRES MONTES,120,120,2016-12-12,1,0,0,0,2,0,1,0,3,0,0,2,2
1909,Arjun,AVOCADOS,2017-01-10,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC ARTIC,2017-01-10,4.2,,4.8,STARCOOL,2017-12-25,1909,5480488119,12,10568,SAN CARLOS,120,120,2018-12-13,0,0,0,0,0,1,0,0,6,0,0,0,2
1910,Lucas,AVO 4K,2017-01-10,BMOU 963110-1,AGRICOLA SUR SA,AVOPRIME,MSC CHLOE,2017-01-10,4.0,7.9,4.8,EXTRAFRESH,2016-12-16,1910,5480469108,14,10570,AGRICOLA AA,300,300,2016-12-01,0,0,0,0,2,0,0,0,3,0,0,0,2
1911,Lucas,MANDARINS,2017-01-10,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-28,4.1,8.3,3.8,STARCOOL,2016-12-16,1911,F542697,3,10316,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,1,0,1,0,1,0,2
1912,Emily,AVOCADOS,2017-01-10,BMOU 961339-2,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ATHENS,2017-01-10,4.0,8.0,5.0,STARCOOL,2017-12-26,1912,5480475583,20,10572,AGRICOLA AA,120,120,2016-12-12,0,0,2,0,0,0,1,0,3,0,0,0,2
1913,Killian,AVO 4K,2017-01-10,MSCU221156-5,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,8.1,5.5,STARCOOL,2016-12-02,1913,F544133,18,10583,SAN CARLOS,300,300,2016-12-13,0,0,0,0,0,0,0,0,3,0,0,0,2
1914,Sarah,AVO 4K,2017-01-10,SUDU396415-5,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-10,3.9,7.0,5.0,STARCOOL,2018-12-23,1914,5480488423,24,9951,LP,300,300,2016-12-13,0,0,0,0,0,0,2,0,3,0,0,0,2
1915,Sarah,MANDARINS,2017-01-10,SUDU396415-5,SJ EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-12-29,4.4,8.1,5.5,STARCOOL,2016-12-09,1915,5480467776,12,10194,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,1,0,3,0,1,0,2
1916,Killian,AVO 4K,2017-01-10,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-12-28,8.6,7.1,,STARCOOL,2016-12-16,1916,5480475303,3,10507,AGRICOLA AA,300,300,2016-12-12,0,0,0,0,0,1,1,0,6,0,0,0,2
1917,Raul,AVO 4K,2017-01-10,SUDU931036-7,SOUTH CITRICS EXPORT,EUROCITRICS,CMA CGM NIAGARA,2019-01-19,8.6,8.1,6.2,STARCOOL,2016-12-16,1917,5480467950,18,9951,SAN CARLOS,300,300,2016-11-23,1,1,0,0,0,0,1,0,3,0,1,0,2
1918,Sarah,AVOCADOS,2017-01-10,BMOU963885-2,SJ EXPORT,EUROCITRICS,MSC ATHENS,2017-01-10,3.9,,5.1,,2016-12-08,1918,5480467776,22,9951,SAN CARLOS,120,120,2016-12-06,0,1,0,0,0,0,0,0,0,0,0,0,2
1919,Killian,AVOCADOS,2017-01-10,BMOU 963197-1,AGRICOLA SUR SA,FRUITS EXOTICS,SANTA CATALINA,2017-01-09,4.2,7.4,,STARCOOL,2016-12-16,1919,5480467950,1-xx,9951,LAS ROSAS,120,120,2016-12-12,0,0,1,0,0,0,0,0,1,0,1,0,2
1920,Sarah,AVO 4K,2017-01-10,MSCU654560-2,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-12-29,3.8,7.4,4.6,STARCOOL,2016-12-16,1920,F542697,4,10048,SAN CARLOS,300,300,2016-12-07,0,0,0,0,0,1,0,0,2,0,0,0,2
1921,Sarah,MANDARINS,2017-01-10,BMOU963865-1,CITRICS CL,AVOPRIME,MSC ATHENS,2017-01-10,4.0,7.9,,STARCOOL,2016-12-16,1921,5480475303,1-x,10508,SAN CARLOS,120,120,2017-12-02,0,0,0,0,0,1,1,0,1,0,0,0,2
1922,Killian,AVO 4K,2017-01-10,BMOU 963267-0,BIO CITRICS,MKVTRB,CMA CGM NIAGARA,2018-01-16,3.8,7.4,,STARCOOL,2016-12-01,1922,5480469206,1-xx,9951,TRES MONTES,300,300,2016-11-29,0,0,0,0,0,0,1,0,0,0,0,1,1
1923,Sarah,MANDARINS,2017-01-10,BMOU963865-0,SJ EXPORT,MKVTRB,MSC CHLOE,2017-01-17,8.6,,5.0,XTENDFRESH,2017-12-23,1923,5480475291,5,9951,SAN CARLOS,120,120,2016-12-12,1,0,0,0,0,0,1,0,2,0,1,0,3
1924,Killian,MANDARINS,2017-01-10,SUDU931036-7,AGRICOLA SUR SA,MMS,MSC CHLOE,2017-01-09,4.8,8.0,5.4,STARCOOL,2016-12-08,1924,5480473501,22,9951,LP,120,120,2019-01-16,0,0,2,1,0,0,1,0,1,1,0,1,1
1925,Sarah,AVOCADOS,2017-01-10,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,8.6,7.5,5.5,STARCOOL,2016-12-16,1925,5480488423,14,10411,SAN CARLOS,120,120,2016-11-30,0,0,0,0,0,0,1,0,0,0,0,3,1
1926,Sarah,MANDARINS,2017-01-10,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.1,3.8,STARCOOL,2016-12-16,1926,5480469108,1-x,10202,RCQ,120,120,2016-11-30,0,0,0,1,0,0,0,0,1,0,0,2,2
1927,Sarah,AVO 4K,2017-01-10,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-16,4.2,7.1,4.4,STARCOOL,2017-12-22,1927,5480468086,18,10522,SAN CARLOS,300,300,2016-12-06,0,0,1,0,0,0,0,0,3,1,0,0,2
1928,Arjun,AVOCADOS,2017-01-10,BMOU963865-1,SJ EXPORT,FRUITS EXOTICS,SANTA ANA,2017-01-10,3.9,7.4,5.2,STARCOOL,2016-12-02,1928,5480461914,18,10470,AGRICOLA AA,120,120,2016-12-07,0,0,2,0,0,0,0,0,6,0,0,0,2
1929,Killian,AVO 4K,2017-01-10,MSCU267656-1,BIO CITRICS,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.2,7.1,3.8,XTENDFRESH,2018-12-23,1929,5480465748,18,9951,SAN CARLOS,300,300,2017-12-13,0,0,0,0,0,1,1,0,2,0,0,0,2
1930,Lucas,MANDARINS,2017-01-10,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,4.3,7.2,6.2,STARCOOL,2016-12-16,1930,5480474907,4,10033,AGRICOLA AA,120,120,2016-12-12,0,1,0,0,0,0,1,0,3,0,1,0,1
1931,Emily,MANDARINS,2017-01-10,BMOU 961339-2,SJ EXPORT,MKVTRB,SANTA CLARA,2017-01-10,4.0,8.8,6.2,STARCOOL,2016-12-16,1931,5480469206,22,9951,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,0,0,1,0,0,2,2
1932,Jost,MANDARINS,2017-01-10,MSCU654560-2,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,8.6,6.3,5.1,EXTRAFRESH,2017-12-20,1932,5480462089,1-x,9951,SAN CARLOS,120,120,2016-12-12,0,1,0,0,0,1,1,0,2,0,0,2,2
1933,Jost,AVO 4K,2017-01-10,BMOU 961339-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-09,3.9,7.9,6.2,STARCOOL,2016-12-16,1933,5480462082,14,10541,SAN CARLOS,300,300,2016-12-07,0,0,0,0,0,1,1,0,6,1,0,0,2
1934,Emily,AVO 4K,2017-01-10,BMOU 963197-1,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2018-01-16,8.6,8.8,5.1,STARCOOL,2018-12-23,1934,5480469206,22,10488,SAN CARLOS,300,300,2016-12-12,0,0,0,1,0,0,1,0,1,0,0,6,2
1935,Muayad,MANDARINS,2017-01-10,BMOU963131-2,CITRICS CL,MMS,SANTA ANA,2018-01-21,3.8,8.0,4.1,STARCOOL,2016-12-08,1935,5480469108,1-x,10418,LAS ROSAS,120,120,2016-12-01,0,0,0,0,0,0,1,0,2,0,0,0,1
1936,Sarah,MANDARINS,2017-01-10,SUDU931036-7,CITRICS CL,MMS,MSC ANZU,2017-01-10,3.9,7.0,5.5,STARCOOL,2016-12-01,1936,27452,14,10326,TRES MONTES,120,120,2018-12-13,0,0,0,0,0,1,0,0,1,0,1,0,2
1937,Arjun,MANDARINS,2017-01-10,BMOU 963197-1,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.4,5.5,STARCOOL,2016-12-08,1937,5480468086,16,9951,SAN CARLOS,120,120,2016-12-13,0,0,1,0,2,0,0,0,3,0,0,1,2
1938,Emily,MANDARINS,2017-01-10,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-12,3.9,,5.0,STARCOOL,2016-12-01,1938,5480469298,18,9951,AGRICOLA AA,120,120,2016-11-30,0,0,0,0,2,0,0,0,3,0,0,2,2
1939,Jost,MANDARINS,2017-01-10,MSCU361476-7,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ATHENS,2017-01-09,4.4,7.8,4.6,STARCOOL,2016-12-16,1939,F543123,14,9951,SAN CARLOS,120,120,2017-12-26,0,0,0,0,0,0,0,0,6,0,0,0,2
1940,Sarah,AVOCADOS,2017-01-10,SUDU931036-7,SJ EXPORT,EUROCITRICS,SAN CLEMENTE,2017-01-05,8.6,7.5,5.0,STARCOOL,2016-12-08,1940,5480488423,18,9951,TRES MONTES,120,120,2016-12-13,0,0,0,0,0,0,1,0,4,0,0,3,2
1941,Emily,MANDARINS,2017-01-10,SUDU931036-7,AGRICOLA SUR SA,FRUITS EXOTICS,MSC ATHENS,2017-01-09,3.9,,6.2,EXTRAFRESH,2016-12-01,1941,5480473501,22,10561,LP,120,120,2016-11-24,0,0,1,0,0,0,1,0,1,0,0,2,2
1942,Sarah,AVO 4K,2017-01-10,BMOU963885-2,SJ EXPORT,AVOPRIME,MSC CHLOE,2019-01-19,4.1,6.3,4.8,STARCOOL,2018-12-23,1942,F542697,16,9951,LAS ROSAS,300,300,2016-12-12,0,0,1,0,0,1,1,0,1,1,0,3,2
1943,Arjun,MANDARINS,2017-01-10,BMOU963885-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2018-01-16,4.8,7.1,4.8,STARCOOL,2016-12-16,1943,5480468086,1-x,9999,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,1,0,5,0,0,2,4
1944,Jost,AVO 4K,2017-01-10,BMOU960422-0,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CHLOE,2019-02-22,3.9,7.0,4.6,STARCOOL,2016-12-16,1944,5480475298,14,9951,SAN CARLOS,300,300,2016-12-07,0,0,0,0,0,0,1,0,2,0,0,0,2
1945,Sarah,MANDARINS,2017-01-10,SUDU296571-0,SJ EXPORT,MMS,MSC CHLOE,2017-01-10,4.4,8.8,5.0,STARCOOL,2016-12-16,1945,27452,9,10606,SAN CARLOS,120,120,2016-12-12,0,0,1,0,0,0,1,0,1,0,1,0,2
1946,Sarah,AVOCADOS,2017-01-10,MSCU654560-2,SJ EXPORT,FRUITS EXOTICS,SANTA JULIA,2017-01-09,4.3,,4.8,XTENDFRESH,2016-12-08,1946,F548003,16,9951,SAN CARLOS,120,120,2017-12-10,1,0,0,0,0,0,0,0,1,0,0,1,2
1947,Sarah,MANDARINS,2017-01-10,BMOU963885-2,BIO CITRICS,FRUITS EXOTICS,MSC ATHENS,2017-12-29,4.4,7.9,5.0,STARCOOL,2016-12-16,1947,27459,7,10514,SAN CARLOS,120,120,2016-12-12,0,0,0,0,0,0,0,0,6,0,0,2,4
1948,Emily,AVOCADOS,2017-01-10,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2018-01-16,8.6,7.8,4.4,STARCOOL,2016-12-09,1948,5480474907,1-xx,9951,SAN CARLOS,120,120,2016-11-24,0,0,1,0,0,0,1,0,1,0,0,0,2
1949,Arjun,MANDARINS,2017-01-10,SUDU931036-7,CITRICS CL,FRUITS EXOTICS,SANTA ANA,2019-01-19,4.4,7.4,3.8,EXTRAFRESH,2016-12-08,1949,F544133,1-xxx,9951,SAN CARLOS,120,120,2017-12-10,0,0,0,0,2,0,1,0,1,0,1,0,2
1950,Jost,AVO 4K,2017-01-10,BMOU 963197-1,SJ EXPORT,EUROCITRICS,MSC CHLOE,2017-01-10,4.1,7.1,5.5,STARCOOL,2016-12-16,1950,5480465748,22,9951,SAN CARLOS,300,300,2016-12-12,0,1,0,0,0,0,0,0,1,0,0,3,2
1951,Sarah,MANDARINS,2017-01-10,BMOU 963197-1,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2017-01-05,4.4,6.3,4.8,STARCOOL,2017-12-25,1951,5480461914,14,10526,SAN CARLOS,120,120,2016-12-01,0,0,1,0,2,0,0,0,3,0,0,1,2
1952,Jost,MANDARINS,2017-01-10,SUDU396415-5,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2018-01-19,3.9,7.1,4.8,XTENDFRESH,2016-12-16,1952,5480467776,16,9972,SAN CARLOS,120,120,2016-12-12,0,0,0,0,5,0,1,0,3,0,0,3,2
1953,Killian,MANDARINS,2017-01-10,BMOU 963197-1,SJ EXPORT,AVOPRIME,MSC CHLOE,2019-01-19,4.8,7.6,6.2,,2016-12-01,1953,F542622,16,9951,SAN CARLOS,120,120,2017-12-02,0,0,1,0,0,0,0,0,1,0,0,0,2
1954,Emily,AVOCADOS,2017-01-10,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-09,4.2,7.8,4.8,,2017-12-23,1954,5480475303,14,10622,SAN CARLOS,120,120,2016-11-23,0,0,0,0,0,0,0,0,2,0,0,3,1
1955,Sarah,AVOCADOS,2017-01-10,BMOU961097-9,SJ EXPORT,MKVTRB,SANTA CLARA,2017-01-09,3.9,8.0,5.5,STARCOOL,2016-12-01,1955,5480462087,22,10374,TRES MONTES,120,120,2016-12-13,0,0,1,0,0,0,0,0,6,0,0,0,2
1956,Killian,AVOCADOS,2017-01-10,BMOU963885-2,SJ EXPORT,MKVTRB,MSC CHLOE,2017-01-10,4.1,7.6,6.2,STARCOOL,2017-12-25,1956,F544133,4,10569,AGRICOLA AA,120,120,2016-12-13,0,0,0,0,0,0,0,3,1,0,0,0,2
1957,Jost,AVO 4K,2017-01-10,SUDU962715-3,SJ EXPORT,FRUITS EXOTICS,SANTA CLARA,2017-01-10,4.4,7.5,5.1,STARCOOL,2016-12-16,1957,5480467797,18,10660,SAN CARLOS,300,300,2016-12-07,0,0,0,0,0,0,0,0,6,0,0,0,2
1958,Jost,AVOCADOS,2017-01-10,SUDU233321-1,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-10,4.1,8.3,4.1,STARCOOL,2016-12-09,1958,27452,18,10041,SAN CARLOS,120,120,2016-12-13,0,0,0,0,3,0,1,0,1,0,1,3,2
1959,Killian,MANDARINS,2017-01-10,BMOU 963267-0,AGRICOLA SUR SA,EUROCITRICS,SANTA CATALINA,2018-01-16,4.0,7.0,6.2,STARCOOL,2016-12-09,1959,5480467797,18,10480,SAN CARLOS,120,120,2017-12-13,0,0,0,0,0,0,0,0,6,0,1,0,2
1960,Arjun,AVO 4K,2017-01-10,MSCU221156-5,SJ EXPORT,MMS,MSC CARIBEAN,2018-01-16,4.2,8.6,4.8,STARCOOL,2017-12-20,1960,27459,14,10597,RCQ,300,300,2016-12-07,0,0,0,0,2,0,0,0,3,0,0,0,2
1961,Jost,AVO 4K,2017-01-10,HLBU 907275-2,SJ EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-10,4.2,7.4,6.2,,2016-12-09,1961,5480475298,18,9951,AAA,300,300,2016-11-24,0,0,0,0,0,0,0,0,1,0,0,0,2
1962,Sarah,AVO 4K,2017-01-10,BMOU963131-2,BIO CITRICS,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-09,3.9,8.1,5.5,STARCOOL,2016-12-16,1962,F542697,16,9951,SAN CARLOS,300,300,2016-12-06,0,0,0,2,1,0,1,0,3,0,1,3,2
1963,Sarah,MANDARINS,2017-01-10,SUDU931036-7,SOUTH CITRICS EXPORT,MMS,SANTA JULIA,2017-01-09,3.9,7.9,,XTENDFRESH,2016-12-08,1963,5480469214,22,10480,TRES MONTES,120,120,2017-12-26,0,0,0,0,0,1,1,0,1,0,1,1,2
1964,Raul,AVOCADOS,2017-01-10,SUDU296571-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.4,6.3,5.5,STARCOOL,2017-12-23,1964,5480467777,9,10319,SAN CARLOS,120,120,2018-12-13,0,0,0,1,0,0,1,3,1,0,0,2,2
1965,Killian,AVOCADOS,2017-01-10,MSCU221156-5,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,4.0,7.5,4.8,,2016-12-16,1965,5480474969,9,10655,SAN CARLOS,120,120,2018-12-13,0,0,0,0,0,0,0,2,6,0,0,3,2
1966,Emily,MANDARINS,2017-01-10,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,4.6,7.5,3.8,STARCOOL,2016-12-01,1966,5480462082,18,10521,TRES MONTES,120,120,2019-01-16,0,0,0,0,0,0,0,0,6,0,0,0,2
1967,Arjun,AVO 4K,2017-01-10,BMOU963885-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,MSC CARIBEAN,2017-01-05,4.0,8.8,4.8,STARCOOL,2016-12-09,1967,5480469108,16,10335,FRA,300,300,2017-12-02,0,0,0,0,0,1,1,0,3,0,0,0,2
1968,Arjun,AVOCADOS,2017-01-10,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-09,8.6,7.1,6.2,STARCOOL,2016-12-16,1968,5480475583,18,9951,LP,120,120,2016-12-01,0,0,2,1,0,0,1,0,1,1,1,0,2
1969,Arjun,MANDARINS,2017-01-10,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.9,8.6,5.0,STARCOOL,2017-12-23,1969,F542696,18,9951,SAN CARLOS,120,120,2016-12-12,0,1,0,0,2,0,1,0,1,0,0,0,2
1970,Sarah,AVOCADOS,2017-01-10,SUDU931477-9,AGRICOLA SUR SA,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,4.2,8.3,6.2,STARCOOL,2016-12-16,1970,5480467815,9,10528,SAN CARLOS,120,120,2016-12-07,1,0,0,0,0,0,1,0,6,0,0,2,2
1971,Jost,MANDARINS,2017-01-10,SUDU233321-1,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-10,4.4,7.4,5.5,STARCOOL,2016-12-09,1971,5480475294,3,10078,TRES MONTES,120,120,2016-12-12,0,0,2,0,2,0,1,0,0,1,0,0,2
1972,Arjun,AVO 4K,2017-01-10,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,MSC ATHENS,2017-01-09,8.6,8.8,4.8,STARCOOL,2017-12-23,1972,5480475583,14,10485,SAN CARLOS,300,300,2016-12-07,0,0,0,0,0,0,0,0,1,0,0,3,2
1973,Emily,MANDARINS,2017-01-10,BMOU963865-0,CITRICS CL,EUROCITRICS,MSC CHLOE,2017-01-09,3.7,7.4,6.2,,2016-12-01,1973,5480469206,18,9951,SAN CARLOS,120,120,2016-12-01,0,0,2,0,0,0,0,3,1,0,0,0,2
1974,Arjun,AVOCADOS,2017-01-10,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,SAN CLEMENTE,2017-01-05,3.9,8.0,5.2,STARCOOL,2017-12-23,1974,5480474969,3,9990,SAN CARLOS,120,120,2017-12-10,0,0,1,0,0,0,0,0,3,0,1,0,2
1975,Killian,AVOCADOS,2017-01-10,SUDU931477-9,AGRICOLA SUR SA,FRUITS EXOTICS,SAN CLEMENTE,2019-02-22,3.9,7.4,5.1,STARCOOL,2017-12-20,1975,F548003,18,9951,RCQ,120,120,2016-12-12,0,0,0,0,1,0,0,0,6,0,0,0,2
1976,Killian,MANDARINS,2017-01-10,SUDU931477-9,SJ EXPORT,AVOPRIME,MSC ANZU,2017-01-10,3.9,6.3,4.8,EXTRAFRESH,2017-12-22,1976,5480475300,9,9951,TRES MONTES,120,120,2019-01-16,0,1,0,0,2,0,0,0,1,0,0,0,2
1977,Jost,MANDARINS,2017-01-10,SUDU233321-1,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.8,7.5,5.1,STARCOOL,2016-12-09,1977,5480475292,14,10241,AGRICOLA AA,120,120,2016-11-24,0,0,0,0,0,0,0,0,2,0,0,0,2
1978,Arjun,AVOCADOS,2017-01-10,BMOU963865-0,CITRICS CL,MKVTRB,MSC CHLOE,2017-01-05,8.6,8.8,3.8,EXTRAFRESH,2016-12-08,1978,5480468117,14,9951,SAN CARLOS,120,120,2016-12-07,0,0,0,0,0,0,1,0,2,0,0,2,3
1979,Sarah,MANDARINS,2017-01-10,SUDU931036-7,SJ EXPORT,FRUITS EXOTICS,SANTA JULIA,2017-01-12,3.9,7.5,,STARCOOL,2016-12-16,1979,5480467776,20,10346,LAS ROSAS,120,120,2017-12-13,0,0,0,0,0,0,0,0,0,0,0,0,4
1980,Muayad,MANDARINS,2017-01-10,BMOU 963267-0,CITRICS CL,EUROCITRICS,CMA CGM NIAGARA,2017-01-10,3.9,8.0,3.8,STARCOOL,2016-12-08,1980,F548003,14,10321,LP,120,120,2017-12-10,1,0,0,0,0,0,1,0,6,0,0,0,2
1981,Jost,MANDARINS,2017-01-10,SUDU931036-7,SJ EXPORT,MMS,MSC CHLOE,2017-01-09,3.8,6.3,4.4,STARCOOL,2016-12-16,1981,5480489019,20,10470,SAN CARLOS,120,120,2016-12-13,0,0,0,0,0,0,0,0,4,0,0,2,2
1982,Sarah,MANDARINS,2017-01-10,BMOU963885-2,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-12,4.4,7.5,4.8,STARCOOL,2016-12-16,1982,5480467777,18,9951,SAN CARLOS,120,120,2016-12-13,0,0,0,0,0,0,1,0,3,1,0,0,2
1983,Arjun,AVO 4K,2017-01-10,BMOU960422-0,AGRICOLA SUR SA,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.8,,5.5,STARCOOL,2016-12-16,1983,5480462086,16,10468,AGRICOLA AA,300,300,2016-12-12,0,0,0,0,0,0,0,0,3,0,1,2,3
1984,Sarah,AVO 4K,2017-01-10,BMOU963865-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-12-29,3.9,7.9,3.8,STARCOOL,2016-12-16,1984,5480475304,26,10131,SAN CARLOS,300,300,2016-11-30,0,0,0,0,0,0,0,0,0,0,1,1,2
1985,Lucas,AVO 4K,2017-01-10,BMOU 961339-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-09,3.9,6.3,,STARCOOL,2016-12-16,1985,5480468102,1-xxx,9951,SAN CARLOS,300,300,2016-12-12,1,0,1,0,0,0,1,0,3,1,0,1,2
1986,Jost,AVOCADOS,2017-01-10,BMOU960422-0,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2018-01-21,3.8,,3.8,XTENDFRESH,2016-12-01,1986,5480488423,14,9951,SAN CARLOS,120,120,2016-12-13,2,0,0,0,0,0,1,0,0,0,0,0,2
1987,Killian,MANDARINS,2017-01-10,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,3.9,7.6,4.8,STARCOOL,2016-12-09,1987,5480475294,12,10596,RCQ,120,120,2017-12-10,0,0,0,1,0,0,1,0,3,0,0,0,2
1988,Killian,MANDARINS,2017-01-10,BMOU963131-2,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-12-29,3.9,8.9,3.8,EXTRAFRESH,2016-12-16,1988,5480475189,12,10609,TRES MONTES,120,120,2017-12-15,0,0,0,0,0,1,0,0,1,0,0,0,2
1989,Sarah,AVO 4K,2017-01-10,HLBU 907075-0,BIO CITRICS,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.6,7.6,4.1,XTENDFRESH,2016-12-16,1989,5480467773,16,9951,TRES MONTES,300,300,2016-12-12,0,0,0,0,0,0,1,0,2,0,0,0,1
1990,Arjun,AVOCADOS,2017-01-10,SUDU396415-5,BIO CITRICS,FRUITS EXOTICS,MSC CHLOE,2017-12-29,4.0,8.8,4.8,STARCOOL,2016-12-16,1990,5480475284,1-xx,9951,SAN CARLOS,120,120,2016-11-24,1,0,0,0,0,1,0,0,3,0,0,0,2
1991,Killian,MANDARINS,2017-01-10,BMOU 963267-0,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-12-28,4.0,8.8,3.8,STARCOOL,2016-12-09,1991,5480462087,18,10410,SAN CARLOS,120,120,2017-12-10,0,0,1,0,0,0,1,0,2,0,0,0,2
1992,Jost,AVOCADOS,2017-01-10,BMOU963131-2,SOUTH CITRICS EXPORT,FRUITS EXOTICS,SANTA CATALINA,2017-01-12,3.8,6.3,5.5,STARCOOL,2016-12-16,1992,F542697,16,10538,SAN CARLOS,120,120,2016-12-06,0,0,0,0,0,1,1,0,2,1,0,0,2
